generation,average_fitness,median_fitness,best_fitness,worst_fitness
0,6355.0,6360.0,6530,6130
1,6383.333333333333,6375.0,6600,6180
2,6453.333333333333,6530.0,6560,6250
3,6566.666666666667,6580.0,6680,6420
4,6521.666666666667,6515.0,6590,6440
5,6511.666666666667,6525.0,6570,6420
6,6671.666666666667,6650.0,6840,6590
7,6648.333333333333,6620.0,6830,6520
8,6693.333333333333,6735.0,6840,6510
9,6720.0,6735.0,6800,6580
10,6698.333333333333,6680.0,6930,6490
11,6748.333333333333,6725.0,6880,6660
12,6781.666666666667,6780.0,6960,6610
13,6813.333333333333,6895.0,7000,6450
14,6793.333333333333,6805.0,6870,6720
15,6780.0,6810.0,6960,6550
16,6728.333333333333,6605.0,7120,6470
17,6811.666666666667,6825.0,7060,6470
18,6901.666666666667,6920.0,7140,6580
19,7003.333333333333,7035.0,7130,6850
20,6970.0,6985.0,7040,6880
21,6835.0,6825.0,7020,6680
22,6928.333333333333,6905.0,7170,6740
23,6880.0,6845.0,7090,6700
24,6958.333333333333,6945.0,7150,6780
25,6905.0,6920.0,7090,6700
26,6875.0,6900.0,6970,6660
27,6885.0,6830.0,7140,6680
28,6796.666666666667,6865.0,7110,6300
29,6881.666666666667,6935.0,7180,6480
30,6826.666666666667,6750.0,7180,6660
31,6931.666666666667,7005.0,7210,6530
32,7028.333333333333,7110.0,7180,6800
33,6755.0,6720.0,6980,6620
34,6811.666666666667,6815.0,6890,6720
35,6803.333333333333,6700.0,7440,6370
36,6988.333333333333,7120.0,7220,6450
37,6828.333333333333,6855.0,7110,6610
38,6843.333333333333,6740.0,7470,6580
39,7135.0,7205.0,7430,6530
40,7260.0,7295.0,7460,6970
41,7171.666666666667,7170.0,7440,6950
42,7136.666666666667,7115.0,7300,7000
43,7041.666666666667,7045.0,7350,6700
44,7021.666666666667,7060.0,7320,6550
45,7111.666666666667,7050.0,7440,6900
46,7113.333333333333,7180.0,7220,6890
47,7071.666666666667,7000.0,7360,6850
48,7180.0,7160.0,7420,6900
49,7033.333333333333,6955.0,7380,6780
50,6995.0,6860.0,7570,6650
51,7000.0,6890.0,7500,6620
52,7028.333333333333,7020.0,7450,6640
53,7225.0,7240.0,7440,6960
54,7268.333333333333,7295.0,7490,6980
55,7128.333333333333,7185.0,7400,6570
56,7273.333333333333,7240.0,7380,7210
57,7263.333333333333,7265.0,7430,7060
58,7043.333333333333,7050.0,7200,6840
59,7140.0,7170.0,7450,6810
60,7128.333333333333,7150.0,7400,6870
61,7088.333333333333,6990.0,7460,6760
62,7181.666666666667,7265.0,7590,6790
63,7118.333333333333,7180.0,7430,6470
64,7143.333333333333,7135.0,7340,6970
65,6855.0,6870.0,7100,6530
66,6975.0,6940.0,7340,6680
67,7046.666666666667,6985.0,7540,6800
68,6941.666666666667,6955.0,7350,6610
69,7118.333333333333,7115.0,7280,6960
70,6916.666666666667,6920.0,7040,6790
71,6933.333333333333,6925.0,7330,6600
72,7295.0,7215.0,7660,7020
73,7430.0,7440.0,7600,7240
74,7285.0,7260.0,7640,6990
75,7350.0,7365.0,7600,7160
76,7148.333333333333,7095.0,7420,6940
77,7213.333333333333,7250.0,7500,6960
78,7193.333333333333,7275.0,7460,6740
79,7220.0,7140.0,7600,6920
80,7253.333333333333,7325.0,7510,6750
81,7335.0,7270.0,7700,7070
82,7315.0,7365.0,7530,7030
83,7316.666666666667,7275.0,7590,7040
84,7243.333333333333,7285.0,7460,6910
85,7150.0,7185.0,7380,6920
86,7283.333333333333,7260.0,7490,7030
87,7283.333333333333,7290.0,7470,7010
88,7451.666666666667,7445.0,7650,7260
89,6996.666666666667,6985.0,7110,6860
90,7068.333333333333,7115.0,7440,6690
91,7350.0,7335.0,7500,7240
92,7311.666666666667,7315.0,7660,7060
93,7358.333333333333,7365.0,7550,7150
94,7145.0,7275.0,7500,6550
95,7321.666666666667,7325.0,7570,6940
96,7160.0,7145.0,7660,6750
97,7136.666666666667,7110.0,7510,6800
98,7140.0,7210.0,7430,6700
99,7371.666666666667,7460.0,7710,6750
100,7246.666666666667,7215.0,7620,6950
